"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2004年12月31日","1,266.50","1,275.39","1,280.83","1,264.49","830.40M","-0.57%"
"2004年12月30日","1,273.71","1,273.15","1,280.57","1,264.15","881.30M","-0.05%"
"2004年12月29日","1,274.31","1,278.69","1,285.55","1,270.89","871.40M","-0.36%"
"2004年12月28日","1,278.94","1,280.93","1,283.63","1,271.91","775.80M","-0.10%"
"2004年12月27日","1,280.27","1,285.41","1,292.31","1,276.73","723.10M","-0.37%"
"2004年12月24日","1,285.04","1,281.32","1,290.66","1,280.38","718.10M","0.18%"
"2004年12月23日","1,282.72","1,308.58","1,308.59","1,280.72","847.60M","-1.90%"
"2004年12月22日","1,307.57","1,277.18","1,307.73","1,275.06","1.33B","2.54%"
"2004年12月21日","1,275.17","1,275.09","1,285.70","1,271.03","700.00M","-0.02%"
"2004年12月20日","1,275.46","1,286.07","1,286.07","1,272.15","805.30M","-1.16%"
"2004年12月17日","1,290.49","1,303.94","1,303.94","1,288.24","766.20M","-1.11%"
"2004年12月16日","1,305.02","1,311.03","1,317.62","1,302.48","905.90M","-0.61%"
"2004年12月15日","1,313.05","1,307.34","1,317.82","1,291.86","1.14B","0.42%"
"2004年12月14日","1,307.55","1,309.07","1,315.89","1,303.15","804.60M","-0.16%"
"2004年12月13日","1,309.69","1,312.61","1,314.40","1,299.80","854.90M","-0.61%"
"2004年12月10日","1,317.72","1,336.63","1,340.37","1,316.64","1.11B","-1.58%"
"2004年12月9日","1,338.81","1,326.74","1,352.45","1,318.47","1.53B","0.93%"
"2004年12月8日","1,326.44","1,331.28","1,337.87","1,322.05","859.30M","0.20%"
"2004年12月7日","1,323.75","1,339.82","1,340.88","1,322.82","1.02B","-1.19%"
"2004年12月6日","1,339.64","1,337.81","1,342.83","1,327.38","1.07B","0.18%"
"2004年12月3日","1,337.20","1,333.01","1,343.71","1,332.86","1.35B","0.31%"
"2004年12月2日","1,333.09","1,333.57","1,334.06","1,324.55","1.28B","-0.14%"
"2004年12月1日","1,334.94","1,340.92","1,342.55","1,332.97","955.30M","-0.43%"
"2004年11月30日","1,340.77","1,336.00","1,341.48","1,332.29","927.70M","0.25%"
